Area,Area Id,Variable Name,Variable Id,Year,Value
Central African Republic,37,Surface water: accounted flow of border rivers,4168,1982,0
Central African Republic,37,Surface water: accounted inflow,4164,1982,0
Central African Republic,37,Surface water: leaving the country to other countries (total),4171,1982,141
Central African Republic,37,Surface water: outflow to other countries not submitted to treaties,4172,1982,141
Central African Republic,37,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Central African Republic,37,Surface water: outflow to other countries secured through treaties,4174,1982,0
Central African Republic,37,Surface water: total external renewable,4176,1982,0
Chad,39,Surface water: inflow secured through treaties,4162,1982,0
Chad,39,Surface water: total flow of border rivers,4165,1982,0
Chad,39,Surface water: accounted flow of border rivers,4168,1982,0
Chad,39,Surface water: accounted inflow,4164,1982,30.7
Chad,39,Surface water: leaving the country to other countries (total),4171,1982,10.15
Chad,39,Surface water: outflow to other countries not submitted to treaties,4172,1982,10.15
Chad,39,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Chad,39,Surface water: outflow to other countries secured through treaties,4174,1982,0
Chad,39,Surface water: total external renewable,4176,1982,30.7
Chile,40,Surface water: inflow secured through treaties,4162,1982,0
Chile,40,Surface water: total flow of border rivers,4165,1982,0
Chile,40,Surface water: accounted flow of border rivers,4168,1982,0
Chile,40,Surface water: accounted inflow,4164,1982,38.06
Chile,40,Surface water: leaving the country to other countries (total),4171,1982,3.15
Chile,40,Surface water: outflow to other countries not submitted to treaties,4172,1982,3.15
Chile,40,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Chile,40,Surface water: outflow to other countries secured through treaties,4174,1982,0
Chile,40,Surface water: total external renewable,4176,1982,38.06
China,351,Surface water: inflow secured through treaties,4162,1982,0
China,351,Surface water: total flow of border rivers,4165,1982,20.3
China,351,Surface water: accounted flow of border rivers,4168,1982,10.15
China,351,Surface water: accounted inflow,4164,1982,27.32
China,351,Surface water: leaving the country to other countries (total),4171,1982,718.8
China,351,Surface water: outflow to other countries not submitted to treaties,4172,1982,718.8
China,351,Surface water: outflow to other countries submitted to treaties,4173,1982,0
China,351,Surface water: outflow to other countries secured through treaties,4174,1982,0
China,351,Surface water: total external renewable,4176,1982,27.32
Colombia,44,Surface water: inflow secured through treaties,4162,1982,0
Colombia,44,Surface water: total flow of border rivers,4165,1982,0
Colombia,44,Surface water: accounted flow of border rivers,4168,1982,0
Colombia,44,Surface water: accounted inflow,4164,1982,215
Colombia,44,Surface water: leaving the country to other countries (total),4171,1982,1375
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,1982,1375
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,1982,0
Colombia,44,Surface water: total external renewable,4176,1982,215
Comoros,45,Surface water: inflow secured through treaties,4162,1982,0
Comoros,45,Surface water: total flow of border rivers,4165,1982,0
Comoros,45,Surface water: accounted flow of border rivers,4168,1982,0
Comoros,45,Surface water: accounted inflow,4164,1982,0
Comoros,45,Surface water: leaving the country to other countries (total),4171,1982,0
Comoros,45,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Comoros,45,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Comoros,45,Surface water: outflow to other countries secured through treaties,4174,1982,0
Comoros,45,Surface water: total external renewable,4176,1982,0
Congo,46,Surface water: inflow secured through treaties,4162,1982,0
Congo,46,Surface water: accounted flow of border rivers,4168,1982,558
Congo,46,Surface water: accounted inflow,4164,1982,610
Congo,46,Surface water: leaving the country to other countries (total),4171,1982,197
Congo,46,Surface water: outflow to other countries not submitted to treaties,4172,1982,197
Congo,46,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Congo,46,Surface water: outflow to other countries secured through treaties,4174,1982,0
Congo,46,Surface water: total external renewable,4176,1982,610
Cook Islands,47,Surface water: inflow secured through treaties,4162,1982,0
Cook Islands,47,Surface water: total flow of border rivers,4165,1982,0
Cook Islands,47,Surface water: accounted flow of border rivers,4168,1982,0
Cook Islands,47,Surface water: accounted inflow,4164,1982,0
Cook Islands,47,Surface water: leaving the country to other countries (total),4171,1982,0
Cook Islands,47,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Cook Islands,47,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cook Islands,47,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cook Islands,47,Surface water: total external renewable,4176,1982,0
Costa Rica,48,Surface water: inflow secured through treaties,4162,1982,0
Costa Rica,48,Surface water: total flow of border rivers,4165,1982,0
Costa Rica,48,Surface water: accounted flow of border rivers,4168,1982,0
Costa Rica,48,Surface water: accounted inflow,4164,1982,0
Costa Rica,48,Surface water: leaving the country to other countries (total),4171,1982,9.655
Costa Rica,48,Surface water: outflow to other countries not submitted to treaties,4172,1982,9.655
Costa Rica,48,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Costa Rica,48,Surface water: outflow to other countries secured through treaties,4174,1982,0
Costa Rica,48,Surface water: total external renewable,4176,1982,0
Côte d'Ivoire,107,Surface water: inflow secured through treaties,4162,1982,0
Côte d'Ivoire,107,Surface water: total flow of border rivers,4165,1982,5.9
Côte d'Ivoire,107,Surface water: accounted flow of border rivers,4168,1982,3
Côte d'Ivoire,107,Surface water: accounted inflow,4164,1982,7.3
Côte d'Ivoire,107,Surface water: leaving the country to other countries (total),4171,1982,13.2
Côte d'Ivoire,107,Surface water: outflow to other countries not submitted to treaties,4172,1982,13.2
Côte d'Ivoire,107,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Côte d'Ivoire,107,Surface water: outflow to other countries secured through treaties,4174,1982,0
Côte d'Ivoire,107,Surface water: total external renewable,4176,1982,7.3
Cuba,49,Surface water: inflow secured through treaties,4162,1982,0
Cuba,49,Surface water: total flow of border rivers,4165,1982,0
Cuba,49,Surface water: accounted flow of border rivers,4168,1982,0
Cuba,49,Surface water: accounted inflow,4164,1982,0
Cuba,49,Surface water: leaving the country to other countries (total),4171,1982,0
Cuba,49,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Cuba,49,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cuba,49,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cuba,49,Surface water: total external renewable,4176,1982,0
Cyprus,50,Surface water: inflow secured through treaties,4162,1982,0
Cyprus,50,Surface water: total flow of border rivers,4165,1982,0
Cyprus,50,Surface water: accounted flow of border rivers,4168,1982,0
Cyprus,50,Surface water: accounted inflow,4164,1982,0
Cyprus,50,Surface water: leaving the country to other countries (total),4171,1982,0
Cyprus,50,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Cyprus,50,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cyprus,50,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cyprus,50,Surface water: total external renewable,4176,1982,0
Democratic People's Republic of Korea,116,Surface water: inflow secured through treaties,4162,1982,0
Democratic People's Republic of Korea,116,Surface water: total flow of border rivers,4165,1982,20.3
Democratic People's Republic of Korea,116,Surface water: accounted flow of border rivers,4168,1982,10.15
Democratic People's Republic of Korea,116,Surface water: accounted inflow,4164,1982,10.15
Democratic People's Republic of Korea,116,Surface water: leaving the country to other countries (total),4171,1982,4.85
Democratic People's Republic of Korea,116,Surface water: outflow to other countries not submitted to treaties,4172,1982,4.85
Democratic People's Republic of Korea,116,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Democratic People's Republic of Korea,116,Surface water: outflow to other countries secured through treaties,4174,1982,0
