Country,Variable,Predicted Year,Year - 10,Year - 5,Predicted Value
Morocco,Groundwater: entering the country (total),2012,0.0,0.0,0.0
Morocco,Groundwater: accounted inflow,2002,0.0,0.0,0.0
Morocco,Groundwater: accounted inflow,2007,0.0,0.0,0.0
Morocco,Groundwater: accounted inflow,2012,0.0,0.0,0.0
Morocco,Groundwater produced internally,2002,10.0,10.0,10.0
Morocco,Groundwater produced internally,2007,10.0,10.0,10.0
Morocco,Groundwater produced internally,2012,10.0,10.0,10.0
Morocco,Environmental Flow Requirements,2002,8.167,8.167,8.167
Morocco,Environmental Flow Requirements,2007,8.167,8.167,8.167
Morocco,Environmental Flow Requirements,2012,8.167,8.167,8.167
Morocco,Dependency ratio,2002,0.0,0.0,0.0
Morocco,Dependency ratio,2007,0.0,0.0,0.0
Morocco,Dependency ratio,2012,0.0,0.0,0.0
Morocco,Surface water: total external renewable,2002,0.0,0.0,0.0
Morocco,Surface water: total external renewable,2007,0.0,0.0,0.0
Morocco,Surface water: total external renewable,2012,0.0,0.0,0.0
Morocco,Area,2002,Morocco,Morocco,Morocco
Morocco,Area,2007,Morocco,Morocco,Morocco
Morocco,Area,2012,Morocco,Morocco,Morocco
Morocco,Total renewable water resources,2002,29.0,29.0,29.0
Morocco,Total renewable water resources,2007,29.0,29.0,29.0
Morocco,Total renewable water resources,2012,29.0,29.0,29.0
Morocco,Total internal renewable water resources (IRWR),2002,29.0,29.0,29.0
Morocco,Total internal renewable water resources (IRWR),2007,29.0,29.0,29.0
Morocco,Total internal renewable water resources (IRWR),2012,29.0,29.0,29.0
Morocco,Total renewable water resources per capita,2002,1124.0,1042.0,982.7
Morocco,Total renewable water resources per capita,2007,1042.0,982.7,928.7
Morocco,Total renewable water resources per capita,2012,982.7,928.7,870.0
Morocco,Urban population,2002,12745.0,14465.0,15825.0
Morocco,Urban population,2007,14465.0,15825.0,17221.0
Morocco,Urban population,2012,15825.0,17221.0,19089.0
Morocco,Total population,2002,25791.0,27826.0,29512.0
Morocco,Total population,2007,27826.0,29512.0,31226.0
Morocco,Total population,2012,29512.0,31226.0,33334.0
Morocco,Total renewable surface water,2002,22.0,22.0,22.0
Morocco,Total renewable surface water,2007,22.0,22.0,22.0
Morocco,Total renewable surface water,2012,22.0,22.0,22.0
Morocco,Total internal renewable water resources per capita,2002,1124.0,1042.0,982.7
Morocco,Total internal renewable water resources per capita,2007,1042.0,982.7,928.7
